Time,Flow_Rate,Temperature,Pressure
403,517.0,332.4,181.17
404,522.4,336.3,181.72
405,533.0,339.3,186.63
406,532.3,342.1,176.64
407,549.9,343.9,173.43
408,556.6,347.4,198.51
409,560.9,350.8,188.12
410,561.7,355.3,193.05
411,572.7,357.7,207.87
412,581.2,360.5,204.62
413,603.1,363.4,206.78
414,594.8,367.3,224.95
415,598.5,369.7,204.07
416,613.6,372.4,220.1
417,621.8,375.3,215.7
418,629.7,377.8,220.13
419,648.4,379.8,233.31
420,654.5,382.3,227.0
421,680.9,385.5,230.71
422,701.7,386.8,236.97
423,700.7,389.2,226.41
424,713.5,390.8,223.7
425,722.5,394.0,225.07
426,738.9,394.8,217.21
427,730.9,396.4,257.0
428,742.0,398.8,229.47
429,756.8,402.0,241.39
430,742.6,403.8,242.79
431,737.9,405.0,249.86
432,764.4,408.2,258.52
433,774.1,408.6,259.42
434,774.0,408.3,244.62
435,783.0,410.3,250.98
436,792.8,411.4,256.76
437,818.3,412.0,252.02
438,811.5,414.0,273.3
439,829.4,415.4,263.42
440,838.7,416.1,266.75
441,844.1,416.2,266.12
442,854.5,417.9,273.41
443,885.6,419.3,264.64
444,894.0,420.0,249.85
445,915.1,422.1,270.15
446,915.2,421.6,258.42
447,920.2,420.8,258.84
448,939.5,420.6,270.4
449,953.5,421.0,277.76
450,972.8,421.4,265.33
451,981.3,421.3,268.27
452,980.3,421.6,283.4
453,1000.9,420.5,266.63
454,1005.6,421.5,292.82
455,1022.1,421.1,270.76
456,1040.8,421.6,246.65
457,1052.0,421.2,272.86
458,1073.0,420.8,268.46
459,1088.2,420.4,277.59
460,1109.9,419.7,270.27
461,1098.9,419.1,261.05
462,1111.1,418.9,249.44
463,1131.2,417.6,258.64
464,1141.5,416.7,250.97
465,1155.9,415.0,251.91
466,1171.7,414.4,263.29
467,1179.2,412.0,271.56
468,1196.9,411.6,258.12
469,1208.3,409.5,239.74
470,1229.8,406.3,252.67
471,1247.6,404.4,257.95
472,1285.6,401.7,237.28
473,1312.7,400.3,240.4
474,1309.6,397.6,238.91
475,1306.9,395.0,228.56
476,1326.3,391.2,237.91
477,1342.6,388.7,228.12
478,1362.9,384.5,228.57
479,1410.7,381.2,213.48
480,1434.6,379.7,215.92
481,1445.4,378.1,224.41
482,1449.3,376.1,212.81
483,1449.1,372.9,227.43
484,1470.1,370.4,206.81
485,1492.8,367.8,209.39
486,1525.7,364.3,211.59
487,1549.0,363.0,191.18
488,1576.5,360.9,186.44
489,1575.4,357.9,185.52
490,1588.7,355.0,204.54
491,1609.2,352.3,187.81
492,1644.9,347.7,206.75
493,1664.6,344.7,180.49
494,1675.5,341.3,182.73
495,1712.2,337.6,188.84
496,1737.1,334.6,189.08
497,1746.1,333.3,188.14
498,1765.9,330.8,179.76
499,1789.7,327.3,175.11
500,1826.2,324.7,169.75
