Time_s,Gyro_X,Gyro_Y,Gyro_Z
5.44,0.542,-0.039,-0.071
5.46,0.319,-0.268,-0.462
5.48,0.113,0.056,-0.384
5.5,0.401,-0.05,-0.044
5.52,0.332,0.004,-0.589
5.54,0.18,-0.147,-0.448
5.56,0.329,-0.169,-0.476
5.58,0.235,-0.01,-0.047
5.6,0.335,-0.096,-0.465
5.62,0.449,0.299,-0.082
5.64,0.631,0.123,-0.335
5.66,0.046,0.075,0.108
5.68,0.731,-0.073,-0.227
5.7,-0.074,-0.433,-0.038
5.72,0.293,-0.183,-0.162
5.74,0.455,-0.136,-0.344
5.76,0.392,-0.068,-0.26
5.78,0.216,-0.027,-0.252
5.8,0.291,0.118,-0.322
5.82,0.226,0.042,-0.053
5.84,0.193,0.221,0.291
5.86,0.485,-0.05,-0.177
5.88,0.387,0.054,-0.053
5.9,0.188,0.076,-0.08
5.92,0.489,0.058,-0.689
5.94,0.373,0.277,-0.087
5.96,0.492,0.161,-0.099
5.98,0.456,-0.268,-0.421
6.0,0.174,-0.021,-0.53
6.02,0.251,-0.001,-0.091
6.04,0.526,0.434,0.148
6.06,0.484,-0.069,-0.257
6.08,0.355,-0.194,-0.255
6.1,0.386,0.102,0.274
6.12,0.618,0.131,-0.022
6.14,0.257,0.018,-0.447
6.16,0.484,-0.012,-0.348
6.18,0.334,0.225,0.212
6.2,0.342,-0.144,-0.358
6.22,0.591,-0.044,-0.324
6.24,0.541,-0.089,-0.088
6.26,0.532,0.238,-0.282
6.28,0.638,0.069,-0.141
6.3,0.378,-0.2,-0.162
6.32,0.515,-0.179,-0.245
6.34,0.311,0.387,0.035
6.36,0.418,0.244,-0.465
6.38,0.331,0.205,-0.187
6.4,0.364,0.045,-0.32
6.42,0.478,0.353,0.126
6.44,0.201,-0.175,-0.25
6.46,0.79,0.189,0.164
6.48,0.168,-0.044,-0.321
6.5,0.126,-0.014,-0.212
6.52,0.577,0.174,-0.008
6.54,0.508,-0.001,-0.41
6.56,0.463,-0.088,0.078
6.58,0.467,-0.108,-0.227
6.6,0.328,-0.398,-0.148
6.62,0.157,0.153,-0.123
6.64,0.353,-0.195,-0.232
6.66,0.189,0.385,-0.39
6.68,0.533,-0.053,-0.21
6.7,0.307,0.246,-0.641
6.72,0.162,-0.376,-0.508
6.74,0.274,0.129,-0.267
6.76,0.415,0.174,0.072
6.78,0.218,0.231,0.062
6.8,0.182,-0.324,-0.027
6.82,0.399,-0.168,-0.532
6.84,0.405,0.093,-0.16
6.86,0.254,0.015,-0.408
6.88,0.254,0.054,-0.256
6.9,0.392,-0.09,-0.06
6.92,0.032,0.29,-0.099
6.94,0.047,0.526,0.016
6.96,0.19,0.052,-0.517
6.98,0.277,0.142,-0.434
7.0,0.385,0.07,0.084
7.02,0.588,0.318,0.083
7.04,0.486,0.22,-0.215
7.06,0.277,-0.176,-0.229
7.08,0.3,-0.076,0.012
7.1,0.111,-0.16,-0.103
7.12,0.312,0.567,-0.098
7.14,0.243,0.16,-0.404
7.16,0.365,-0.057,0.022
7.18,0.14,-0.068,-0.254
7.2,0.401,0.223,-0.483
7.22,0.611,0.25,-0.356
7.24,0.27,0.222,-0.327
7.26,0.378,-0.027,0.082
7.28,0.421,0.124,-0.374
7.3,0.199,0.069,-0.157
7.32,0.307,-0.138,-0.657
7.34,0.273,-0.138,-0.035
7.36,0.303,0.129,-0.383
7.38,0.145,0.08,-0.15
7.4,0.301,0.167,-0.155
7.42,0.388,0.204,-0.115
7.44,0.589,0.342,-0.162
7.46,0.491,-0.11,0.171
7.48,0.723,0.187,-0.177
7.5,0.133,0.198,0.224
7.52,0.461,-0.01,-0.102
7.54,0.335,0.075,-0.181
7.56,0.726,0.015,-0.054
7.58,0.14,0.501,-0.186
7.6,0.131,0.098,-0.153
7.62,0.192,0.154,-0.154
7.64,-0.115,0.011,-0.171
7.66,0.213,-0.033,0.194
7.68,0.158,-0.222,0.215
7.7,0.344,0.257,-0.181
7.72,0.389,0.206,0.007
7.74,0.677,-0.003,0.021
7.76,0.508,-0.123,0.015
7.78,0.188,0.092,-0.093
7.8,0.135,-0.048,-0.069
7.82,0.408,0.001,-0.098
7.84,0.053,-0.204,-0.356
7.86,0.688,0.088,-0.222
7.88,0.554,0.094,-0.455
7.9,0.215,0.272,-0.113
7.92,-0.036,0.007,-0.138
7.94,0.573,-0.044,-0.087
7.96,0.283,-0.296,-0.381
7.98,0.554,0.231,-0.022
8.0,-0.02,0.181,-0.125
8.02,0.166,0.0,0.208
8.04,0.283,-0.28,-0.074
8.06,0.291,-0.264,-0.343
8.08,0.184,-0.125,-0.498
8.1,0.402,0.172,-0.181
8.12,0.062,0.047,-0.444
8.14,0.257,-0.299,-0.407
8.16,0.313,0.086,-0.445
8.18,0.398,-0.177,-0.379
8.2,0.431,-0.121,0.022
8.22,0.077,0.184,-0.461
8.24,-0.002,0.159,-0.349
8.26,0.573,0.206,-0.551
8.28,0.393,-0.009,-0.598
8.3,0.175,0.164,-0.329
8.32,0.629,-0.148,-0.231
8.34,0.342,-0.075,-0.503
8.36,0.552,-0.102,-0.57
8.38,0.323,-0.046,-0.648
8.4,0.711,-0.283,-0.242
8.42,0.669,-0.088,-0.079
8.44,0.255,0.235,-0.543
8.46,0.48,-0.274,-0.368
8.48,0.418,-0.329,-0.031
8.5,0.556,-0.31,-0.294
8.52,0.086,0.477,-0.291
8.54,0.402,0.028,-0.214
8.56,0.481,-0.098,-0.374
8.58,-0.08,-0.046,-0.438
8.6,0.045,-0.017,-0.206
8.62,-0.121,-0.192,-0.528
8.64,0.23,-0.167,-0.589
8.66,0.412,-0.088,-0.412
8.68,0.561,-0.194,-0.126
8.7,0.266,-0.13,-0.027
8.72,0.566,0.031,-0.365
8.74,-0.022,-0.253,-0.117
8.76,-0.073,0.47,-0.008
8.78,0.251,0.108,-0.289
8.8,0.347,-0.297,-0.167
8.82,0.267,-0.541,0.082
8.84,-0.146,-0.184,-0.437
8.86,0.25,0.092,-0.36
8.88,-0.012,0.056,0.007
8.9,0.367,-0.057,-0.492
8.92,0.31,-0.148,-0.276
8.94,0.058,-0.211,-0.439
8.96,0.153,-0.108,-0.053
8.98,0.033,-0.234,-0.563
9.0,0.241,-0.128,-0.352
9.02,0.451,0.231,-0.537
9.04,0.068,-0.174,-0.622
9.06,0.364,0.105,-0.709
9.08,0.152,0.132,-0.365
9.1,0.107,-0.242,-0.243
9.12,0.252,-0.181,-0.331
9.14,0.065,0.194,-0.285
9.16,0.165,-0.212,-0.399
9.18,0.041,-0.061,-0.112
9.2,0.672,0.365,-0.146
9.22,0.28,0.168,-0.276
9.24,0.133,-0.006,-0.264
9.26,0.325,0.14,-0.391
9.28,0.251,-0.058,0.107
9.3,0.241,0.162,-0.126
9.32,0.4,-0.448,-0.317
9.34,0.447,-0.073,-0.316
9.36,0.198,-0.464,-0.344
9.38,0.184,-0.008,-0.343
9.4,0.231,-0.08,-0.225
9.42,-0.18,0.246,-0.614
9.44,-0.026,0.129,-0.329
9.46,0.547,-0.116,-0.309
9.48,0.596,-0.085,-0.292
9.5,0.218,0.069,-0.256
9.52,0.382,-0.132,-0.275
9.54,0.321,-0.019,-0.188
9.56,0.885,0.255,-0.278
9.58,0.504,-0.179,-0.056
9.6,0.255,-0.093,-0.116
9.62,0.099,-0.067,0.204
9.64,-0.025,0.606,-0.104
9.66,0.331,0.098,-0.383
9.68,0.144,0.189,-0.255
9.7,0.002,0.085,-0.324
9.72,0.147,0.096,-0.226
9.74,0.066,0.03,-0.007
9.76,0.625,0.004,-0.296
9.78,0.469,-0.358,-0.344
9.8,0.292,0.0,-0.131
9.82,0.573,-0.096,-0.383
9.84,0.277,0.018,-0.389
9.86,0.093,-0.129,-0.13
9.88,0.577,0.039,-0.57
9.9,0.373,0.069,-0.305
9.92,0.075,-0.716,-0.036
9.94,0.238,-0.223,-0.574
9.96,0.113,-0.521,-0.571
9.98,-0.005,-0.103,-0.487
10.0,0.448,-0.238,-0.737
10.02,0.648,0.105,0.193
10.04,-0.016,-0.114,-0.166
10.06,0.384,-0.263,-0.314
10.08,0.144,0.026,-0.428
10.1,0.191,-0.231,0.263
10.12,0.165,-0.245,-0.049
10.14,0.1,-0.082,-0.212
10.16,0.28,0.173,0.056
10.18,0.1,0.031,-0.12
10.2,0.314,-0.038,-0.304
10.22,0.241,0.409,-0.339
10.24,0.189,-0.292,-0.337
10.26,0.068,-0.304,-0.418
10.28,0.12,-0.122,-0.001
10.3,0.385,0.15,-0.325
10.32,0.336,-0.34,0.036
10.34,0.043,0.192,-0.411
10.36,0.258,-0.447,-0.36
10.38,0.374,-0.173,-0.332
10.4,-0.118,-0.124,-0.409
10.42,0.324,-0.332,-0.347
10.44,0.083,-0.286,-0.118
10.46,0.318,-0.01,0.016
10.48,0.057,0.143,-0.163
10.5,-0.16,-0.552,-0.461
10.52,-0.108,-0.1,-0.346
10.54,0.208,-0.164,-0.364
10.56,0.256,-0.128,0.092
10.58,0.024,-0.205,-0.061
10.6,0.331,-0.413,-0.013
10.62,-0.123,0.158,-0.388
10.64,0.189,0.105,-0.516
10.66,-0.043,-0.146,-0.138
10.68,0.058,-0.213,-0.344
10.7,0.211,-0.228,-0.198
10.72,0.024,-0.628,-0.168
10.74,0.113,-0.054,-0.331
10.76,0.404,0.042,-0.055
10.78,0.071,-0.076,-0.563
10.8,0.37,-0.102,-0.251
10.82,-0.024,-0.058,-0.13
10.84,0.318,-0.265,0.068
10.86,0.505,-0.194,-0.242
10.88,-0.297,-0.134,-0.031
10.9,0.045,0.047,-0.054
10.92,0.309,0.191,0.168
10.94,0.15,-0.124,-0.251
10.96,0.282,-0.294,0.093
10.98,0.082,-0.08,-0.149
11.0,0.231,0.299,-0.612
11.02,0.173,-0.304,-0.3
11.04,0.452,0.058,-0.492
11.06,0.268,0.137,-0.01
11.08,0.289,-0.208,-0.263
11.1,0.139,-0.274,-0.566
11.12,0.124,-0.03,-0.124
11.14,0.121,-0.085,-0.037
11.16,0.281,-0.014,-0.39
11.18,0.111,0.26,-0.408
11.2,0.24,-0.117,-0.264
11.22,0.598,-0.38,-0.653
11.24,0.371,-0.122,-0.146
11.26,0.123,-0.078,0.043
11.28,0.445,0.132,-0.419
11.3,0.122,-0.192,0.079
11.32,-0.209,-0.243,-0.1
11.34,-0.005,-0.449,-0.31
11.36,-0.156,-0.066,-0.146
11.38,0.152,0.49,0.037
11.4,0.23,-0.216,-0.247
11.42,0.568,-0.098,-0.191
11.44,0.284,-0.311,-0.36
11.46,0.186,-0.464,-0.293
11.48,0.388,-0.116,-0.137
11.5,-0.23,-0.201,-0.315
11.52,0.255,-0.677,-0.367
11.54,0.359,0.12,-0.045
11.56,-0.09,-0.119,-0.186
11.58,0.431,-0.185,-0.38
11.6,0.264,-0.306,0.056
11.62,0.107,-0.136,0.126
11.64,0.317,-0.129,-0.098
11.66,0.627,-0.134,-0.552
11.68,0.209,0.017,-0.226
11.7,0.235,0.076,-0.178
11.72,0.097,0.217,-0.613
11.74,0.026,-0.346,-0.079
11.76,0.376,-0.301,-0.272
11.78,0.045,-0.127,-0.101
11.8,0.225,-0.366,-0.393
11.82,0.11,-0.326,-0.233
11.84,0.302,-0.113,-0.221
11.86,0.261,-0.028,-0.293
11.88,0.427,0.046,-0.246
11.9,0.118,-0.223,-0.391
11.92,0.181,-0.107,-0.595
11.94,0.037,-0.153,-0.764
11.96,0.145,-0.193,-0.466
11.98,0.309,-0.356,-0.191
12.0,0.397,-0.385,-0.561
12.02,0.086,-0.069,-0.156
12.04,0.43,-0.359,-0.091
12.06,0.525,-0.559,-0.27
12.08,0.341,-0.209,-0.4
12.1,0.616,0.081,-0.161
12.12,0.08,-0.777,-0.12
12.14,-0.01,-0.28,-0.398
12.16,-0.122,-0.089,-0.329
12.18,0.533,-0.594,-0.512
12.2,0.37,-0.271,-0.293
12.22,0.223,-0.45,-0.768
12.24,0.28,-0.418,-0.397
12.26,-0.011,-0.297,-0.497
12.28,0.681,-0.441,-0.343
12.3,0.223,-0.456,-0.479
12.32,0.217,-0.226,-0.693
12.34,0.353,0.234,-0.424
12.36,0.31,-0.076,-0.397
12.38,0.26,-0.039,-0.093
12.4,0.06,-0.081,-0.418
12.42,0.295,-0.376,-0.459
12.44,0.581,-0.193,-0.526
12.46,0.472,-0.032,-0.06
12.48,0.514,-0.094,-0.328
12.5,0.089,-0.216,-0.227
12.52,-0.0,-0.163,-0.597
12.54,0.167,0.245,-0.645
12.56,0.201,-0.076,-0.47
12.58,0.414,-0.297,0.034
12.6,-0.146,-0.251,-0.502
12.62,0.501,-0.439,-0.403
12.64,0.162,0.246,-0.274
12.66,0.119,0.092,-0.395
12.68,0.004,-0.215,-0.172
12.7,-0.141,0.219,-0.431
12.72,0.363,-0.079,-0.499
12.74,0.206,-0.306,0.261
12.76,-0.072,-0.028,-0.476
12.78,-0.075,-0.133,-0.128
12.8,0.139,-0.047,-0.464
12.82,0.545,-0.492,-0.577
12.84,0.179,-0.372,-0.29
12.86,-0.069,0.1,-0.528
12.88,0.189,0.149,-0.341
12.9,0.202,0.092,-0.423
12.92,-0.275,0.254,-0.005
12.94,0.258,-0.078,-0.568
12.96,0.209,-0.104,-0.127
12.98,0.384,-0.386,-0.2
13.0,0.618,-0.307,-0.306
13.02,0.483,-0.579,-0.399
13.04,0.203,-0.249,-0.203
13.06,0.042,-0.599,-0.2
13.08,0.77,0.03,-0.177
13.1,0.261,-0.109,-0.315
13.12,0.256,-0.597,-0.468
13.14,0.249,-0.226,-0.058
13.16,0.29,0.198,-0.243
13.18,0.216,-0.217,-0.35
13.2,0.115,-0.378,-0.408
13.22,0.12,-0.542,-0.019
13.24,0.209,-0.534,0.054
13.26,0.103,-0.073,-0.107
13.28,0.068,-0.26,-0.089
13.3,0.246,-0.25,0.036
13.32,0.163,-0.282,-0.266
13.34,0.52,-0.205,0.237
13.36,-0.31,-0.415,-0.396
13.38,0.428,-0.115,-0.217
13.4,0.46,-0.479,-0.326
13.42,-0.217,-0.351,-0.153
13.44,0.13,0.006,0.184
13.46,0.122,-0.131,-0.219
13.48,-0.077,-0.066,-0.097
13.5,0.042,0.227,-0.761
13.52,-0.047,-0.212,-0.095
13.54,0.52,-0.178,0.009
13.56,0.363,-0.222,-0.164
13.58,0.432,-0.267,-0.393
13.6,0.316,-0.392,-0.426
13.62,-0.042,-0.182,-0.304
13.64,0.076,-0.134,-0.449
13.66,0.287,-0.115,0.109
13.68,-0.055,-0.187,-0.104
13.7,0.338,-0.018,0.083
13.72,0.155,-0.183,-0.264
13.74,0.142,-0.269,-0.371
13.76,0.351,-0.367,-0.35
13.78,0.304,-0.505,-0.312
13.8,0.13,0.096,-0.328
13.82,0.44,-0.341,0.025
13.84,-0.025,-0.399,-0.028
13.86,0.334,-0.3,-0.139
13.88,0.332,-0.28,-0.499
13.9,0.154,0.11,-0.118
13.92,0.265,-0.283,-0.226
13.94,-0.041,0.308,0.09
13.96,0.407,-0.221,-0.018
13.98,0.183,0.186,-0.177
14.0,0.111,-0.063,-0.629
14.02,0.422,-0.176,-0.233
14.04,0.088,0.064,-0.347
14.06,-0.054,-0.022,-0.132
14.08,-0.082,-0.123,-0.437
14.1,0.36,0.205,-0.14
14.12,-0.041,-0.35,-0.64
14.14,0.565,-0.466,-0.469
14.16,-0.205,-0.395,-0.367
14.18,0.552,0.095,-0.294
14.2,0.263,0.032,-0.127
14.22,0.211,-0.362,-0.522
14.24,0.119,-0.732,-0.333
14.26,0.307,-0.313,-0.332
14.28,0.219,-0.486,-0.07
14.3,0.455,-0.393,-0.233
14.32,0.269,-0.518,-0.39
14.34,0.262,-0.619,-0.418
14.36,0.163,0.086,-0.304
14.38,0.222,-0.43,-0.504
14.4,0.316,-0.035,0.148
14.42,-0.099,-0.368,-0.188
14.44,-0.038,-0.544,-0.385
14.46,0.374,-0.216,-0.428
14.48,0.266,-0.406,-0.456
14.5,0.201,-0.373,-0.143
14.52,0.236,-0.295,-0.54
14.54,0.312,-0.467,-0.248
14.56,0.13,-0.618,-0.118
14.58,0.091,-0.307,-0.353
14.6,0.272,-0.114,-0.442
14.62,0.027,-0.494,-0.07
14.64,0.3,-0.27,-0.469
14.66,-0.122,-0.001,-0.3
14.68,0.416,-0.344,-0.229
14.7,0.296,-0.329,-0.39
14.72,0.257,-0.345,-0.499
14.74,0.41,-0.522,-0.383
14.76,0.539,-0.575,-0.213
14.78,0.396,-0.552,-0.405
14.8,-0.174,-0.271,-0.174
14.82,-0.058,-0.183,-0.324
14.84,0.063,-0.164,-0.383
14.86,0.21,-0.413,-0.427
14.88,0.299,-0.121,-0.263
14.9,0.048,-0.278,-0.088
14.92,0.228,-0.308,-0.286
14.94,0.031,-0.997,-0.486
14.96,0.078,-0.485,-0.067
14.98,-0.09,-0.634,-0.452
15.001,0.024,-0.216,0.078
15.021,-0.065,-0.334,-0.3
15.041,0.008,-0.584,-0.441
15.061,0.407,-0.31,-0.153
15.081,0.013,-0.648,-0.31
15.101,0.749,-0.546,-0.161
15.121,0.316,-0.472,-0.259
15.141,0.251,-0.23,-0.569
15.161,0.057,-0.048,-0.301
15.181,0.358,-0.437,-0.2
15.201,0.095,-0.057,-0.278
15.221,0.248,-0.322,-0.045
15.241,0.74,-0.302,-0.226
15.261,0.2,-0.37,-0.334
15.281,0.455,-0.396,-0.25
15.301,0.069,-0.254,-0.419
15.321,0.214,-0.202,-0.259
15.341,0.555,-0.526,-0.27
15.361,0.065,-0.382,-0.588
15.381,0.557,-0.017,-0.204
15.401,0.324,-0.328,0.088
15.421,0.07,-0.306,-0.239
15.441,0.314,-0.141,-0.755
15.461,0.375,-0.49,-0.426
15.481,0.304,-0.381,-0.607
15.501,-0.126,-0.217,-0.404
15.521,0.047,-0.128,-0.211
15.541,0.158,-0.846,-0.491
15.561,0.184,-0.532,0.016
15.581,0.313,-0.582,-0.924
15.601,0.238,-0.404,-0.406
15.621,-0.061,-0.562,-0.279
15.641,0.279,-0.245,-0.578
15.661,0.32,-0.338,-0.557
15.681,0.318,-0.19,-0.192
15.701,0.418,-0.171,0.035
15.721,0.376,-0.238,0.069
15.741,0.314,-0.459,-0.401
15.761,0.209,-0.376,-0.048
15.781,-0.123,-0.49,-0.315
15.801,0.301,-0.663,-0.132
