month,revenue,expenses,profit
2018-10,163.08,134.4,28.69
2018-11,161.92,140.29,21.63
2018-12,171.19,134.31,36.89
2019-01,162.3,137.96,24.35
2019-02,160.12,137.28,22.84
2019-03,165.66,133.86,31.79
2019-04,163.21,140.21,23.0
2019-05,161.94,143.03,18.91
2019-06,164.89,140.57,24.32
2019-07,163.22,141.57,21.65
2019-08,162.18,146.71,15.47
2019-09,164.04,139.52,24.52
2019-10,160.75,139.51,21.24
2019-11,156.56,142.75,13.81
2019-12,156.97,141.82,15.15
2020-01,155.73,150.14,5.58
2020-02,158.03,147.71,10.32
2020-03,152.27,144.86,7.41
2020-04,148.65,146.27,2.38
2020-05,155.74,157.35,-1.6
2020-06,149.48,147.58,1.9
2020-07,146.48,147.75,-1.28
2020-08,155.27,151.58,3.69
2020-09,150.46,153.2,-2.74
2020-10,154.86,152.57,2.29
2020-11,150.37,149.79,0.58
2020-12,147.66,149.64,-1.97
2021-01,146.89,155.5,-8.61
2021-02,149.57,154.15,-4.58
2021-03,150.35,149.98,0.37
2021-04,148.01,159.0,-10.99
2021-05,150.1,158.4,-8.3
2021-06,145.04,155.93,-10.89
2021-07,151.25,156.45,-5.2
2021-08,144.07,158.5,-14.43
2021-09,150.57,156.32,-5.75
2021-10,154.27,154.9,-0.63
2021-11,156.03,160.49,-4.46
2021-12,158.73,155.77,2.96
2022-01,145.89,161.82,-15.94
2022-02,155.42,156.89,-1.47
2022-03,157.51,161.48,-3.97
2022-04,156.94,161.93,-4.99
2022-05,149.65,168.25,-18.59
2022-06,155.39,160.27,-4.87
2022-07,161.58,159.77,1.81
2022-08,148.57,162.64,-14.07
2022-09,156.89,161.76,-4.87
2022-10,159.88,163.92,-4.04
2022-11,153.11,167.51,-14.4
2022-12,158.7,169.12,-10.42
2023-01,152.57,172.33,-19.77
2023-02,154.1,165.7,-11.6
2023-03,154.58,176.38,-21.79
2023-04,159.14,174.96,-15.83
2023-05,158.53,168.96,-10.43
2023-06,163.24,163.25,-0.01
2023-07,156.2,170.43,-14.23
2023-08,159.98,171.45,-11.47
2023-09,164.89,164.88,0.01
2023-10,163.85,172.55,-8.71
2023-11,156.86,172.28,-15.42
2023-12,165.38,171.08,-5.69
